ingredient_symnonym_id,word,code,ingredient_id
262,Gotu Kola,A0600205308000,1358
263,애엽,A0600205400000,1359
264,애엽,A0600205404000,1360
265,애엽,A0600205408000,1361
266,뱀배추,A0600205500000,1362
267,뱀배추,A0600205504000,1363
268,뱀배추,A0600205508000,1364
269,제니,A0600205900000,1374
270,제니,A0600205904000,1375
271,제니,A0600205908000,1376
272,위령선,A0600206200000,1383
273,위령선,A0600206204000,1384
274,위령선,A0600206208000,1385
275,비파(잎),A0600206400000,1389
276,비파(잎),A0600206404000,1390
277,비파(잎),A0600206408000,1391
278,큰골집신나물,A0600206500000,1392
279,용아초,A0600206500000,1392
280,선학초,A0600206500000,1392
281,지동풍,A0600206500000,1392
282,자모초,A0600206500000,1392
283,금선초,A0600206500000,1392
284,자초,A0600206500000,1392
285,과향초,A0600206500000,1392
286,익지,A0600206500000,1392
287,펼비,A0600206500000,1392
288,큰골집신나물,A0600206504000,1393
289,용아초,A0600206504000,1393
290,선학초,A0600206504000,1393
291,지동풍,A0600206504000,1393
292,자모초,A0600206504000,1393
293,금선초,A0600206504000,1393
294,자초,A0600206504000,1393
295,과향초,A0600206504000,1393
296,익지,A0600206504000,1393
297,펼비,A0600206504000,1393
298,큰골집신나물,A0600206508000,1394
299,용아초,A0600206508000,1394
300,선학초,A0600206508000,1394
301,지동풍,A0600206508000,1394
302,자모초,A0600206508000,1394
303,금선초,A0600206508000,1394
304,자초,A0600206508000,1394
305,과향초,A0600206508000,1394
306,익지,A0600206508000,1394
307,펼비,A0600206508000,1394
308,지유초,A0600206600000,1395
309,지우초,A0600206600000,1395
310,수박풀,A0600206600000,1395
311,백지유,A0600206600000,1395
312,적지유,A0600206600000,1395
313,삽지유,A0600206600000,1395
314,샐럿 버넷,A0600206600000,1395
315,샐러드 버넷,A0600206600000,1395
316,외나무,A0600206600000,1395
317,지유,A0600206600000,1395
318,지유초,A0600206604000,1396
319,지우초,A0600206604000,1396
320,수박풀,A0600206604000,1396
321,백지유,A0600206604000,1396
322,적지유,A0600206604000,1396
323,삽지유,A0600206604000,1396
324,샐럿 버넷,A0600206604000,1396
325,샐러드 버넷,A0600206604000,1396
326,외나무,A0600206604000,1396
327,지유,A0600206604000,1396
328,지유초,A0600206608000,1397
329,지우초,A0600206608000,1397
330,수박풀,A0600206608000,1397
331,백지유,A0600206608000,1397
332,적지유,A0600206608000,1397
333,삽지유,A0600206608000,1397
334,샐럿 버넷,A0600206608000,1397
335,샐러드 버넷,A0600206608000,1397
336,외나무,A0600206608000,1397
337,지유,A0600206608000,1397
338,가삼자리,A0600206700000,1398
339,꼭두선이,A0600206700000,1398
340,천초근,A0600206700000,1398
